Circuit,Method,Depth,Gates,CX_Gates,Time,Depth_Improvement
EfficientSU2_2Q_R1_linear,Custom,19,31,0,0.010915279388427734,-14
EfficientSU2_2Q_R1_linear,Qiskit L0,19,31,0,0.021353483200073242,-14
EfficientSU2_2Q_R1_linear,Qiskit L1,16,26,0,0.2670478820800781,-11
EfficientSU2_2Q_R1_linear,Qiskit L2,14,24,0,0.01046895980834961,-9
EfficientSU2_2Q_R1_linear,Qiskit L3,14,24,0,0.01798081398010254,-9
EfficientSU2_3Q_R1_linear,Custom,23,50,0,0.008223772048950195,-17
EfficientSU2_3Q_R1_linear,Qiskit L0,23,50,0,0.004726886749267578,-17
EfficientSU2_3Q_R1_linear,Qiskit L1,20,43,0,0.007871866226196289,-14
EfficientSU2_3Q_R1_linear,Qiskit L2,17,39,0,0.009278059005737305,-11
EfficientSU2_3Q_R1_linear,Qiskit L3,17,39,0,0.020652294158935547,-11
EfficientSU2_4Q_R1_linear,Custom,27,69,0,0.008356332778930664,-20
EfficientSU2_4Q_R1_linear,Qiskit L0,27,69,0,0.005185127258300781,-20
EfficientSU2_4Q_R1_linear,Qiskit L1,24,60,0,0.007825851440429688,-17
EfficientSU2_4Q_R1_linear,Qiskit L2,20,54,0,0.009823083877563477,-13
EfficientSU2_4Q_R1_linear,Qiskit L3,20,54,0,0.024121522903442383,-13
EfficientSU2_4Q_R2_full,Custom,79,164,0,0.011768341064453125,-64
EfficientSU2_4Q_R2_full,Qiskit L0,127,237,0,0.01195073127746582,-112
EfficientSU2_4Q_R2_full,Qiskit L1,84,144,0,0.02934432029724121,-69
EfficientSU2_4Q_R2_full,Qiskit L2,67,118,0,0.025968313217163086,-52
EfficientSU2_4Q_R2_full,Qiskit L3,67,118,0,0.03812718391418457,-52
EfficientSU2_5Q_R1_linear,Custom,31,88,0,0.0090484619140625,-23
EfficientSU2_5Q_R1_linear,Qiskit L0,31,88,0,0.005590200424194336,-23
EfficientSU2_5Q_R1_linear,Qiskit L1,28,77,0,0.007089853286743164,-20
EfficientSU2_5Q_R1_linear,Qiskit L2,23,69,0,0.010344505310058594,-15
EfficientSU2_5Q_R1_linear,Qiskit L3,23,69,0,0.029529809951782227,-15
EfficientSU2_5Q_R2_full,Custom,110,240,0,0.012525081634521484,-92
EfficientSU2_5Q_R2_full,Qiskit L0,176,383,0,0.010465860366821289,-158
EfficientSU2_5Q_R2_full,Qiskit L1,146,255,0,0.018839120864868164,-128
EfficientSU2_5Q_R2_full,Qiskit L2,126,231,0,0.022611618041992188,-108
EfficientSU2_5Q_R2_full,Qiskit L3,126,231,0,0.035829782485961914,-108
EfficientSU2_6Q_R1_linear,Custom,35,107,0,0.009107351303100586,-26
EfficientSU2_6Q_R1_linear,Qiskit L0,35,107,0,0.005635738372802734,-26
EfficientSU2_6Q_R1_linear,Qiskit L1,32,94,0,0.008515119552612305,-23
EfficientSU2_6Q_R1_linear,Qiskit L2,26,84,0,0.012325048446655273,-17
EfficientSU2_6Q_R1_linear,Qiskit L3,26,84,0,0.03718733787536621,-17
EfficientSU2_6Q_R2_full,Custom,159,338,0,0.018632888793945312,-138
EfficientSU2_6Q_R2_full,Qiskit L0,259,579,0,0.011341094970703125,-238
EfficientSU2_6Q_R2_full,Qiskit L1,204,425,0,0.023285865783691406,-183
